ひらがなくりすます,1223,1223,6058,名詞,固有名詞,一般,*,*,*,ひらがなくりすます,ヒラガナクリスマス,ヒラガナクリスマス
ママのドレス,1223,1223,6058,名詞,固有名詞,一般,*,*,*,ママのドレス,ママノドレス,ママノドレス
こんなに好きになっちゃっていいの？,1223,1223,6058,名詞,固有名詞,一般,*,*,*,こんなに好きになっちゃっていいの？,コンナニスキニナッチャッテイイノ,コンナニスキニナッチャッテイイノ
ひよたん,1223,1223,6058,名詞,固有名詞,人名,名,*,*,ひよたん,ヒヨタン,ヒヨタン
芽実,1223,1223,4000,名詞,固有名詞,人名,名,*,*,芽実,メミ,メミ
こばゆい,1223,1223,5000,名詞,固有名詞,人名,名,*,*,こばゆい,コバユイ,コバユイ
なっちょさん,1223,1223,4000,名詞,固有名詞,人名,名,*,*,なっちょさん,ナッチョサン,ナッチョサン
みいちゃん,1223,1223,5000,名詞,固有名詞,人名,名,*,*,みいちゃん,ミイチャン,ミイチャン
誰よりも高く跳べ,1223,1223,6058,名詞,固有名詞,一般,*,*,*,誰よりも高く跳べ,ダレヨリモタカクトベ,ダレヨリモタカクトベ
宮田愛萌,1223,1223,2000,名詞,固有名詞,人名,一般,*,*,宮田愛萌,ミヤタマナモ,ミヤタマナモ
耳に落ちる涙,1223,1223,4000,名詞,固有名詞,一般,*,*,*,耳に落ちる涙,ミミニオチルナミダ,ミミニオチルナミダ
沈黙が愛なら,1223,1223,6058,名詞,固有名詞,一般,*,*,*,沈黙が愛なら,チンモクガアイナラ,チンモクガアイナラ
ときめき草,1223,1223,6058,名詞,固有名詞,一般,*,*,*,ときめき草,トキメキソウ,トキメキソウ
君に話しておきたいこと,1223,1223,6058,名詞,固有名詞,一般,*,*,*,君に話しておきたいこと,キミニハナシテオキタイコト,キミニハナシテオキタイコト
抱きしめてやる,1223,1223,1000,名詞,固有名詞,一般,*,*,*,抱きしめてやる,ダキシメテヤル,ダキシメテヤル
にぶちゃん,1223,1223,6058,名詞,固有名詞,人名,一般,*,*,にぶちゃん,ニブチャン,ニブチャン
しずおか,1223,1223,6058,名詞,固有名詞,地域,一般,*,*,しずおか,シズオカ,シズオカ
まなも,1223,1223,4000,名詞,固有名詞,人名,一般,*,*,まなも,マナモ,マナモ
Re:Mind,1223,1223,6058,名詞,固有名詞,一般,*,*,*,Re:Mind,リマインド,リマインド
ひらがなで恋したい,1223,1223,6058,名詞,固有名詞,一般,*,*,*,ひらがなで恋したい,ヒラガナデコイシタイ,ヒラガナデコイシタイ
にぶ,1223,1223,4000,名詞,固有名詞,人名,一般,*,*,にぶ,ニブ,ニブ
まなもん,1223,1223,4000,名詞,固有名詞,人名,一般,*,*,まなもん,マナモン,マナモン
ハロウィンのかぼちゃが割れた,1223,1223,4000,名詞,固有名詞,一般,*,*,*,ハロウィンのかぼちゃが割れた,ハロウィンノカボチャガワレタ,ハロウィンノカボチャガワレタ
まにゃ,1223,1223,5000,名詞,固有名詞,人名,一般,*,*,まにゃ,マニャ,マニャ
まにゃも,1223,1223,5000,名詞,固有名詞,人名,一般,*,*,まにゃも,マニャモ,マニャモ
車輪が軋むように君が泣く,1223,1223,5000,名詞,固有名詞,一般,*,*,*,車輪が軋むように君が泣く,シャリンガキシムヨウニキミガナク,シャリンガキシムヨウニキミガナク
キレイになりたい,1223,1223,3000,名詞,固有名詞,一般,*,*,*,キレイになりたい,キレイニナリタイ,キレイニナリタイ
期待していない自分,1223,1223,6058,名詞,固有名詞,一般,*,*,*,期待していない自分,キタイシテイナイジブン,キタイシテイナイジブン
僕達は付き合っている,1223,1223,4000,名詞,固有名詞,一般,*,*,*,僕達は付き合っている,ボクタチハツキアッテイル,ボクタチハツキアッテイル
まおさん,1223,1223,6058,名詞,固有名詞,人名,一般,*,*,まおさん,マオサン,マオサン
まおさーん,1223,1223,6058,名詞,固有名詞,人名,一般,*,*,まおさーん,マオサーン,マオサーン
こんな整列を誰がさせるのか？,1223,1223,5000,名詞,固有名詞,一般,*,*,*,こんな整列を誰がさせるのか？,コンナセイレツヲダレガサセルノカ,コンナセイレツヲダレガサセルノカ
みやたちゃん,1223,1223,6058,名詞,固有名詞,人名,一般,*,*,みやたちゃん,ミヤタチャン,ミヤタチャン
夏色のミュール,1223,1223,5000,名詞,固有名詞,一般,*,*,*,夏色のミュール,ナツイロノミュール,ナツイロノミュール
